controlStep,q_1,q_2,q_3,q_4,flexion_1,flexion_2,flexion_3,flexion_4
9,17246.5,6665.16666666667,7599.5,6280.83333333333,1,0.999929607208222,0.991297095839685,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
9,17246.5,6665.16666666667,7603.66666666667,6280.83333333333,1,0.999929607208222,0.991795886770468,1
10,17246.5,6665.16666666667,7576.16666666667,6280.83333333333,1,0.999929607208222,0.988503866627296,1
10,17246.5,6665.16666666667,7543.66666666667,6280.83333333333,1,0.999929607208222,0.984613297367182,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
10,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
