motor,pwm,pos,duration,n_points,first,last,sum
1,-255,11293.0,0.2,1,-774.0,-774.0,-774.0
1,-255,11293.0,3.0,21,2046.0,-788.6666666666666,-13727.33333333333
1,-255,14334.0,0.2,1,1526.6666666666667,1526.6666666666667,1526.6666666666667
1,-255,14334.0,3.0,21,5228.333333333333,-788.6666666666666,-10544.999999999998
1,-255,17375.0,0.2,1,5034.333333333333,5034.333333333333,5034.333333333333
1,-255,17375.0,3.0,21,8714.666666666666,-788.6666666666666,-6686.500000000002
2,64,0.0,0.2,1,1868.3333333333333,1868.3333333333333,1868.3333333333333
2,64,0.0,3.0,21,1414.6666666666667,3598.0,65116.66666666667
2,64,877.5,0.2,1,2274.0,2274.0,2274.0
2,64,877.5,3.0,21,2066.0,3598.0,66723.33333333334
2,64,1755.0,0.2,1,2421.0,2421.0,2421.0
2,64,1755.0,3.0,21,2354.0,3598.0,67863.0
2,64,2632.5,0.2,1,2703.6666666666665,2703.6666666666665,2703.6666666666665
2,64,2632.5,3.0,21,2702.3333333333335,3598.0,73189.33333333334
2,64,3510.0,0.2,1,3598.0,3598.0,3598.0
2,64,3510.0,3.0,21,3598.0,3598.0,75558.0
2,64,4387.5,0.2,1,4387.5,4387.5,4387.5
2,64,4387.5,3.0,21,4387.5,4387.5,92137.5
2,64,5265.0,0.2,1,5265.0,5265.0,5265.0
2,64,5265.0,3.0,21,5265.0,5265.0,110565.0
2,-64,-24.0,0.2,1,-24.0,-24.0,-24.0
2,-64,-24.0,3.0,21,-24.0,-24.0,-504.0
2,-64,905.0,0.2,1,102.66666666666667,102.66666666666667,102.66666666666667
2,-64,905.0,3.0,21,233.33333333333334,-15.0,-66.66666666666666
2,-64,1834.0,0.2,1,578.0,578.0,578.0
2,-64,1834.0,3.0,21,948.3333333333334,-15.0,913.6666666666667
2,-64,2763.0,0.2,1,1329.0,1329.0,1329.0
2,-64,2763.0,3.0,21,1678.0,-15.0,2386.3333333333335
2,-64,3692.0,0.2,1,1969.3333333333333,1969.3333333333333,1969.3333333333333
2,-64,3692.0,3.0,21,2410.0,-15.0,4229.0
2,-64,4621.0,0.2,1,2410.0,2410.0,2410.0
2,-64,4621.0,3.0,21,2925.0,-15.0,5599.333333333333
2,-64,5550.0,0.2,1,2410.0,2410.0,2410.0
2,-64,5550.0,3.0,21,2925.0,-15.0,5599.333333333333
2,96,0.0,0.2,1,3618.75,3618.75,3618.75
2,96,0.0,3.0,21,3059.5,5435.75,107782.0
2,96,1084.1666666666667,0.2,1,3969.25,3969.25,3969.25
2,96,1084.1666666666667,3.0,21,3552.0,5435.75,108832.5
2,96,2168.3333333333335,0.2,1,4190.75,4190.75,4190.75
2,96,2168.3333333333335,3.0,21,3879.25,5435.75,109459.5
2,96,3252.5,0.2,1,4314.25,4314.25,4314.25
2,96,3252.5,3.0,21,4240.25,5435.75,110366.75
2,96,4336.666666666667,0.2,1,4725.25,4725.25,4725.25
2,96,4336.666666666667,3.0,21,4676.25,5435.75,113074.0
2,96,5420.833333333334,0.2,1,5435.75,5435.75,5435.75
2,96,5420.833333333334,3.0,21,5435.75,5435.75,114150.75
2,96,6505.0,0.2,1,6505.0,6505.0,6505.0
2,96,6505.0,3.0,21,6505.0,6505.0,136605.0
2,-96,-178.0,0.2,1,-178.0,-178.0,-178.0
2,-96,-178.0,3.0,21,-178.0,-178.0,-3738.0
2,-96,935.8333333333333,0.2,1,-123.5,-123.5,-123.5
2,-96,935.8333333333333,3.0,21,-123.5,-123.5,-2593.5
2,-96,2049.6666666666665,0.2,1,-123.5,-123.5,-123.5
2,-96,2049.6666666666665,3.0,21,-123.5,-123.5,-2593.5
2,-96,3163.5,0.2,1,-123.5,-123.5,-123.5
2,-96,3163.5,3.0,21,-82.25,-123.5,-2552.25
2,-96,4277.333333333333,0.2,1,-123.5,-123.5,-123.5
2,-96,4277.333333333333,3.0,21,520.25,-123.5,-1949.75
2,-96,5391.166666666666,0.2,1,339.0,339.0,339.0
2,-96,5391.166666666666,3.0,21,1482.25,-123.5,-987.75
2,-96,6505.0,0.2,1,459.5,459.5,459.5
2,-96,6505.0,3.0,21,1712.25,-123.5,-757.75
2,128,0.0,0.2,1,5522.666666666667,5522.666666666667,5522.666666666667
2,128,0.0,3.0,21,4300.666666666667,6113.833333333333,126453.16666666664
2,128,1106.3333333333333,0.2,1,5900.0,5900.0,5900.0
2,128,1106.3333333333333,3.0,21,5161.833333333333,6113.833333333333,127346.49999999997
2,128,2212.6666666666665,0.2,1,5995.333333333333,5995.333333333333,5995.333333333333
2,128,2212.6666666666665,3.0,21,5708.833333333333,6113.833333333333,127910.66666666664
2,128,3319.0,0.2,1,6034.666666666667,6034.666666666667,6034.666666666667
2,128,3319.0,3.0,21,5934.5,6113.833333333333,128171.66666666664
2,128,4425.333333333333,0.2,1,6041.0,6041.0,6041.0
2,128,4425.333333333333,3.0,21,6030.5,6113.833333333333,128277.49999999997
2,128,5531.666666666666,0.2,1,6082.5,6082.5,6082.5
2,128,5531.666666666666,3.0,21,6038.166666666667,6113.833333333333,128305.66666666664
2,128,6638.0,0.2,1,6638.0,6638.0,6638.0
2,128,6638.0,3.0,21,6638.0,6638.0,139398.0
2,-128,-278.0,0.2,1,-278.0,-278.0,-278.0
2,-128,-278.0,3.0,21,-278.0,-278.0,-5838.0
2,-128,874.6666666666667,0.2,1,-223.5,-223.5,-223.5
2,-128,874.6666666666667,3.0,21,-223.5,-223.5,-4693.5
2,-128,2027.3333333333335,0.2,1,-223.5,-223.5,-223.5
2,-128,2027.3333333333335,3.0,21,-223.5,-223.5,-4693.5
2,-128,3180.0,0.2,1,-223.5,-223.5,-223.5
2,-128,3180.0,3.0,21,-223.5,-223.5,-4693.5
2,-128,4332.666666666667,0.2,1,-223.5,-223.5,-223.5
2,-128,4332.666666666667,3.0,21,-150.5,-223.5,-4620.5
2,-128,5485.333333333334,0.2,1,-223.5,-223.5,-223.5
2,-128,5485.333333333334,3.0,21,556.6666666666666,-223.5,-3913.3333333333335
2,-128,6638.0,0.2,1,-104.0,-104.0,-104.0
2,-128,6638.0,3.0,21,1363.1666666666667,-223.5,-3106.833333333333
2,160,0.0,0.2,1,6205.6,6205.6,6205.6
2,160,0.0,3.0,21,5226.4,6482.8,134842.6
2,160,1109.6666666666667,0.2,1,6329.8,6329.8,6329.8
2,160,1109.6666666666667,3.0,21,5975.6,6482.8,135597.80000000002
2,160,2219.3333333333335,0.2,1,6401.6,6401.6,6401.6
2,160,2219.3333333333335,3.0,21,6217.4,6482.8,135856.0
2,160,3329.0,0.2,1,6443.6,6443.6,6443.6
2,160,3329.0,3.0,21,6320.6,6482.8,135970.4
2,160,4438.666666666667,0.2,1,6448.2,6448.2,6448.2
2,160,4438.666666666667,3.0,21,6405.8,6482.8,136061.6
2,160,5548.333333333334,0.2,1,6466.2,6466.2,6466.2
2,160,5548.333333333334,3.0,21,6444.4,6482.8,136100.4
2,160,6658.0,0.2,1,6658.0,6658.0,6658.0
2,160,6658.0,3.0,21,6658.0,6658.0,139818.0
2,-160,-420.0,0.2,1,-420.0,-420.0,-420.0
2,-160,-420.0,3.0,21,-420.0,-420.0,-8820.0
2,-160,759.6666666666667,0.2,1,-300.4,-300.4,-300.4
2,-160,759.6666666666667,3.0,21,-300.4,-300.4,-6308.399999999998
2,-160,1939.3333333333335,0.2,1,-300.4,-300.4,-300.4
2,-160,1939.3333333333335,3.0,21,-300.4,-300.4,-6308.399999999998
2,-160,3119.0,0.2,1,-300.4,-300.4,-300.4
2,-160,3119.0,3.0,21,-300.4,-300.4,-6308.399999999998
2,-160,4298.666666666667,0.2,1,-300.4,-300.4,-300.4
2,-160,4298.666666666667,3.0,21,-300.4,-300.4,-6308.399999999998
2,-160,5478.333333333334,0.2,1,-300.4,-300.4,-300.4
2,-160,5478.333333333334,3.0,21,-201.0,-300.4,-6208.999999999998
2,-160,6658.0,0.2,1,-300.4,-300.4,-300.4
2,-160,6658.0,3.0,21,754.4,-300.4,-5253.5999999999985
2,192,0.0,0.2,1,6521.0,6521.0,6521.0
2,192,0.0,3.0,21,5618.666666666667,6521.0,136038.6666666667
2,192,1087.5,0.2,1,6521.0,6521.0,6521.0
2,192,1087.5,3.0,21,6358.333333333333,6521.0,136778.3333333333
2,192,2175.0,0.2,1,6521.0,6521.0,6521.0
2,192,2175.0,3.0,21,6521.0,6521.0,136941.0
2,192,3262.5,0.2,1,6521.0,6521.0,6521.0
2,192,3262.5,3.0,21,6521.0,6521.0,136941.0
2,192,4350.0,0.2,1,6521.0,6521.0,6521.0
2,192,4350.0,3.0,21,6521.0,6521.0,136941.0
2,192,5437.5,0.2,1,6521.0,6521.0,6521.0
2,192,5437.5,3.0,21,6521.0,6521.0,136941.0
2,192,6525.0,0.2,1,6525.0,6525.0,6525.0
2,192,6525.0,3.0,21,6525.0,6525.0,137025.0
2,-192,-427.0,0.2,1,-427.0,-427.0,-427.0
2,-192,-427.0,3.0,21,-427.0,-427.0,-8967.0
2,-192,731.5,0.2,1,-363.75,-363.75,-363.75
2,-192,731.5,3.0,21,-363.75,-363.75,-7638.75
2,-192,1890.0,0.2,1,-363.75,-363.75,-363.75
2,-192,1890.0,3.0,21,-363.75,-363.75,-7638.75
2,-192,3048.5,0.2,1,-363.75,-363.75,-363.75
2,-192,3048.5,3.0,21,-363.75,-363.75,-7638.75
2,-192,4207.0,0.2,1,-363.75,-363.75,-363.75
2,-192,4207.0,3.0,21,-363.75,-363.75,-7638.75
2,-192,5365.5,0.2,1,-363.75,-363.75,-363.75
2,-192,5365.5,3.0,21,-363.75,-363.75,-7638.75
2,-192,6524.0,0.2,1,-363.75,-363.75,-363.75
2,-192,6524.0,3.0,21,-85.25,-363.75,-7360.25
2,224,0.0,0.2,1,6596.833333333333,6596.833333333333,6596.833333333333
2,224,0.0,3.0,21,6126.5,6596.833333333333,138063.16666666666
2,224,1123.3333333333333,0.2,1,6596.833333333333,6596.833333333333,6596.833333333333
2,224,1123.3333333333333,3.0,21,6595.5,6596.833333333333,138532.16666666666
2,224,2246.6666666666665,0.2,1,6596.833333333333,6596.833333333333,6596.833333333333
2,224,2246.6666666666665,3.0,21,6596.833333333333,6596.833333333333,138533.5
2,224,3370.0,0.2,1,6596.833333333333,6596.833333333333,6596.833333333333
2,224,3370.0,3.0,21,6596.833333333333,6596.833333333333,138533.5
2,224,4493.333333333333,0.2,1,6596.833333333333,6596.833333333333,6596.833333333333
2,224,4493.333333333333,3.0,21,6596.833333333333,6596.833333333333,138533.5
2,224,5616.666666666666,0.2,1,6596.833333333333,6596.833333333333,6596.833333333333
2,224,5616.666666666666,3.0,21,6596.833333333333,6596.833333333333,138533.5
2,224,6740.0,0.2,1,6740.0,6740.0,6740.0
2,224,6740.0,3.0,21,6740.0,6740.0,141540.0
2,-224,-438.0,0.2,1,-438.0,-438.0,-438.0
2,-224,-438.0,3.0,21,-438.0,-438.0,-9198.0
2,-224,758.3333333333333,0.2,1,-394.0,-394.0,-394.0
2,-224,758.3333333333333,3.0,21,-394.0,-394.0,-8274.0
2,-224,1954.6666666666665,0.2,1,-394.0,-394.0,-394.0
2,-224,1954.6666666666665,3.0,21,-394.0,-394.0,-8274.0
2,-224,3151.0,0.2,1,-394.0,-394.0,-394.0
2,-224,3151.0,3.0,21,-394.0,-394.0,-8274.0
2,-224,4347.333333333333,0.2,1,-394.0,-394.0,-394.0
2,-224,4347.333333333333,3.0,21,-394.0,-394.0,-8274.0
2,-224,5543.666666666666,0.2,1,-394.0,-394.0,-394.0
2,-224,5543.666666666666,3.0,21,-394.0,-394.0,-8274.0
2,-224,6740.0,0.2,1,-394.0,-394.0,-394.0
2,-224,6740.0,3.0,21,-313.3333333333333,-394.0,-8193.333333333332
2,255,0.0,0.2,1,6665.166666666667,6665.166666666667,6665.166666666667
2,255,0.0,3.0,21,6538.0,6665.166666666667,139841.33333333334
2,255,1136.8333333333333,0.2,1,6665.166666666667,6665.166666666667,6665.166666666667
2,255,1136.8333333333333,3.0,21,6665.166666666667,6665.166666666667,139968.5
2,255,2273.6666666666665,0.2,1,6665.166666666667,6665.166666666667,6665.166666666667
2,255,2273.6666666666665,3.0,21,6665.166666666667,6665.166666666667,139968.5
2,255,3410.5,0.2,1,6665.166666666667,6665.166666666667,6665.166666666667
2,255,3410.5,3.0,21,6665.166666666667,6665.166666666667,139968.5
2,255,4547.333333333333,0.2,1,6665.166666666667,6665.166666666667,6665.166666666667
2,255,4547.333333333333,3.0,21,6665.166666666667,6665.166666666667,139968.5
2,255,5684.166666666666,0.2,1,6665.166666666667,6665.166666666667,6665.166666666667
2,255,5684.166666666666,3.0,21,6665.166666666667,6665.166666666667,139968.5
2,255,6821.0,0.2,1,6821.0,6821.0,6821.0
2,255,6821.0,3.0,21,6821.0,6821.0,143241.0
2,-255,-477.0,0.2,1,-477.0,-477.0,-477.0
2,-255,-477.0,3.0,21,-477.0,-477.0,-10017.0
2,-255,739.3333333333333,0.2,1,-437.3333333333333,-437.3333333333333,-437.3333333333333
2,-255,739.3333333333333,3.0,21,-437.3333333333333,-437.3333333333333,-9184.0
2,-255,1955.6666666666665,0.2,1,-437.3333333333333,-437.3333333333333,-437.3333333333333
2,-255,1955.6666666666665,3.0,21,-437.3333333333333,-437.3333333333333,-9184.0
2,-255,3172.0,0.2,1,-437.3333333333333,-437.3333333333333,-437.3333333333333
2,-255,3172.0,3.0,21,-437.3333333333333,-437.3333333333333,-9184.0
2,-255,4388.333333333333,0.2,1,-437.3333333333333,-437.3333333333333,-437.3333333333333
2,-255,4388.333333333333,3.0,21,-437.3333333333333,-437.3333333333333,-9184.0
2,-255,5604.666666666666,0.2,1,-437.3333333333333,-437.3333333333333,-437.3333333333333
2,-255,5604.666666666666,3.0,21,-437.3333333333333,-437.3333333333333,-9184.0
2,-255,6821.0,0.2,1,-437.3333333333333,-437.3333333333333,-437.3333333333333
2,-255,6821.0,3.0,21,-433.5,-437.3333333333333,-9180.166666666668
3,64,0.0,0.2,1,3181.6666666666665,3181.6666666666665,3181.6666666666665
3,64,0.0,3.0,21,2222.3333333333335,4524.333333333333,89725.99999999999
3,64,779.5,0.2,1,3807.6666666666665,3807.6666666666665,3807.6666666666665
3,64,779.5,3.0,21,3211.6666666666665,4524.333333333333,91015.3333333333
3,64,1559.0,0.2,1,4042.0,4042.0,4042.0
