subject,side,route,pwm_magnitude,count,fraction,highPwmFraction
GABRIEL,2,A,128,3,0.09375,0.8125
GABRIEL,2,A,160,1,0.03125,0.8125
GABRIEL,2,A,192,2,0.0625,0.8125
GABRIEL,2,A,224,8,0.25,0.8125
GABRIEL,2,A,255,12,0.375,0.8125
GABRIEL,2,B,0,4,0.1,0.75
GABRIEL,2,B,64,5,0.125,0.75
GABRIEL,2,B,96,1,0.025,0.75
GABRIEL,2,B,128,3,0.075,0.75
GABRIEL,2,B,160,3,0.075,0.75
GABRIEL,2,B,192,2,0.05,0.75
GABRIEL,2,B,224,10,0.25,0.75
GABRIEL,2,B,255,12,0.3,0.75
GABRIEL,2,C,0,2,0.0625,0.8125
GABRIEL,2,C,64,3,0.09375,0.8125
GABRIEL,2,C,96,1,0.03125,0.8125
GABRIEL,2,C,128,3,0.09375,0.8125
GABRIEL,2,C,160,1,0.03125,0.8125
GABRIEL,2,C,192,2,0.0625,0.8125
GABRIEL,2,C,224,8,0.25,0.8125
GABRIEL,2,C,255,12,0.375,0.8125
IVANNA,1,A,0,1,0.03125,0.75
IVANNA,1,A,64,5,0.15625,0.75
IVANNA,1,A,96,2,0.0625,0.75
IVANNA,1,A,128,1,0.03125,0.75
IVANNA,1,A,160,0,0,0.75
IVANNA,1,A,192,0,0,0.75
IVANNA,1,A,224,6,0.1875,0.75
IVANNA,1,A,255,17,0.53125,0.75
IVANNA,1,B,0,1,0.0277777777777778,0.777777777777778
IVANNA,1,B,64,5,0.138888888888889,0.777777777777778
IVANNA,1,B,96,2,0.0555555555555556,0.777777777777778
IVANNA,1,B,128,1,0.0277777777777778,0.777777777777778
IVANNA,1,B,160,0,0,0.777777777777778
IVANNA,1,B,192,0,0,0.777777777777778
IVANNA,1,B,224,6,0.166666666666667,0.777777777777778
IVANNA,1,B,255,21,0.583333333333333,0.777777777777778
IVANNA,1,C,0,1,0.03125,0.75
IVANNA,1,C,64,5,0.15625,0.75
IVANNA,1,C,96,2,0.0625,0.75
IVANNA,1,C,128,1,0.03125,0.75
IVANNA,1,C,160,0,0,0.75
IVANNA,1,C,192,0,0,0.75
IVANNA,1,C,224,6,0.1875,0.75
IVANNA,1,C,255,17,0.53125,0.75
IVANNA,2,A,0,0,0,1
IVANNA,2,A,64,0,0,1
IVANNA,2,A,96,0,0,1
IVANNA,2,A,128,0,0,1
IVANNA,2,A,160,1,0.03125,1
IVANNA,2,A,192,3,0.09375,1
IVANNA,2,A,224,6,0.1875,1
IVANNA,2,A,255,22,0.6875,1
IVANNA,2,B,0,0,0,1
IVANNA,2,B,64,0,0,1
IVANNA,2,B,96,0,0,1
IVANNA,2,B,128,0,0,1
IVANNA,2,B,160,2,0.0555555555555556,1
IVANNA,2,B,192,4,0.111111111111111,1
IVANNA,2,B,224,7,0.194444444444444,1
IVANNA,2,B,255,23,0.638888888888889,1
IVANNA,2,C,0,0,0,1
IVANNA,2,C,64,0,0,1
IVANNA,2,C,96,0,0,1
IVANNA,2,C,128,0,0,1
IVANNA,2,C,160,1,0.03125,1
IVANNA,2,C,192,3,0.09375,1
IVANNA,2,C,224,6,0.1875,1
IVANNA,2,C,255,22,0.6875,1
JOE,1,A,0,0,0,0.8125
JOE,1,A,64,6,0.1875,0.8125
JOE,1,A,96,0,0,0.8125
JOE,1,A,128,3,0.09375,0.8125
JOE,1,A,160,3,0.09375,0.8125
JOE,1,A,192,2,0.0625,0.8125
JOE,1,A,224,4,0.125,0.8125
JOE,1,A,255,14,0.4375,0.8125
JOE,1,B,0,0,0,0.85
JOE,1,B,64,6,0.15,0.85
JOE,1,B,96,0,0,0.85
JOE,1,B,128,3,0.075,0.85
JOE,1,B,160,3,0.075,0.85
JOE,1,B,192,2,0.05,0.85
JOE,1,B,224,4,0.1,0.85
JOE,1,B,255,22,0.55,0.85
JOE,1,C,0,0,0,0.8125
JOE,1,C,64,6,0.1875,0.8125
JOE,1,C,96,0,0,0.8125
JOE,1,C,128,3,0.09375,0.8125
JOE,1,C,160,3,0.09375,0.8125
JOE,1,C,192,2,0.0625,0.8125
JOE,1,C,224,4,0.125,0.8125
JOE,1,C,255,14,0.4375,0.8125
JOE,2,A,0,2,0.0625,0.65625
JOE,2,A,64,8,0.25,0.65625
JOE,2,A,96,1,0.03125,0.65625
JOE,2,A,128,3,0.09375,0.65625
JOE,2,A,160,1,0.03125,0.65625
JOE,2,A,192,0,0,0.65625
JOE,2,A,224,5,0.15625,0.65625
JOE,2,A,255,12,0.375,0.65625
JOE,2,B,0,2,0.05,0.625
JOE,2,B,64,12,0.3,0.625
JOE,2,B,96,1,0.025,0.625
JOE,2,B,128,3,0.075,0.625
JOE,2,B,160,2,0.05,0.625
JOE,2,B,192,1,0.025,0.625
JOE,2,B,224,6,0.15,0.625
JOE,2,B,255,13,0.325,0.625
JOE,2,C,0,2,0.0625,0.65625
JOE,2,C,64,8,0.25,0.65625
JOE,2,C,96,1,0.03125,0.65625
JOE,2,C,128,3,0.09375,0.65625
JOE,2,C,160,1,0.03125,0.65625
JOE,2,C,192,0,0,0.65625
JOE,2,C,224,5,0.15625,0.65625
JOE,2,C,255,12,0.375,0.65625
JONATHAN,1,A,0,0,0,0.59375
JONATHAN,1,A,64,13,0.40625,0.59375
JONATHAN,1,A,96,0,0,0.59375
JONATHAN,1,A,128,0,0,0.59375
JONATHAN,1,A,160,4,0.125,0.59375
JONATHAN,1,A,192,3,0.09375,0.59375
JONATHAN,1,A,224,1,0.03125,0.59375
JONATHAN,1,A,255,11,0.34375,0.59375
JONATHAN,1,B,0,0,0,0.638888888888889
JONATHAN,1,B,64,13,0.361111111111111,0.638888888888889
JONATHAN,1,B,96,0,0,0.638888888888889
JONATHAN,1,B,128,0,0,0.638888888888889
JONATHAN,1,B,160,4,0.111111111111111,0.638888888888889
JONATHAN,1,B,192,3,0.0833333333333333,0.638888888888889
JONATHAN,1,B,224,1,0.0277777777777778,0.638888888888889
JONATHAN,1,B,255,15,0.416666666666667,0.638888888888889
JONATHAN,1,C,0,0,0,0.59375
JONATHAN,1,C,64,13,0.40625,0.59375
JONATHAN,1,C,96,0,0,0.59375
JONATHAN,1,C,128,0,0,0.59375
JONATHAN,1,C,160,4,0.125,0.59375
JONATHAN,1,C,192,3,0.09375,0.59375
JONATHAN,1,C,224,1,0.03125,0.59375
JONATHAN,1,C,255,11,0.34375,0.59375
JONATHAN,2,A,0,1,0.03125,0.65625
JONATHAN,2,A,64,6,0.1875,0.65625
JONATHAN,2,A,96,4,0.125,0.65625
JONATHAN,2,A,128,1,0.03125,0.65625
JONATHAN,2,A,160,2,0.0625,0.65625
JONATHAN,2,A,192,1,0.03125,0.65625
JONATHAN,2,A,224,1,0.03125,0.65625
JONATHAN,2,A,255,16,0.5,0.65625
JONATHAN,2,B,0,1,0.025,0.65
JONATHAN,2,B,64,8,0.2,0.65
JONATHAN,2,B,96,5,0.125,0.65
JONATHAN,2,B,128,1,0.025,0.65
JONATHAN,2,B,160,3,0.075,0.65
JONATHAN,2,B,192,3,0.075,0.65
JONATHAN,2,B,224,1,0.025,0.65
JONATHAN,2,B,255,18,0.45,0.65
JONATHAN,2,C,0,1,0.03125,0.65625
JONATHAN,2,C,64,6,0.1875,0.65625
JONATHAN,2,C,96,4,0.125,0.65625
JONATHAN,2,C,128,1,0.03125,0.65625
JONATHAN,2,C,160,2,0.0625,0.65625
JONATHAN,2,C,192,1,0.03125,0.65625
JONATHAN,2,C,224,1,0.03125,0.65625
JONATHAN,2,C,255,16,0.5,0.65625
KHAROL,1,A,0,1,0.03125,0.625
KHAROL,1,A,64,10,0.3125,0.625
KHAROL,1,A,96,1,0.03125,0.625
KHAROL,1,A,128,1,0.03125,0.625
KHAROL,1,A,160,5,0.15625,0.625
KHAROL,1,A,192,2,0.0625,0.625
KHAROL,1,A,224,5,0.15625,0.625
KHAROL,1,A,255,7,0.21875,0.625
KHAROL,1,B,0,1,0.025,0.7
KHAROL,1,B,64,10,0.25,0.7
KHAROL,1,B,96,1,0.025,0.7
KHAROL,1,B,128,1,0.025,0.7
KHAROL,1,B,160,5,0.125,0.7
KHAROL,1,B,192,2,0.05,0.7
KHAROL,1,B,224,7,0.175,0.7
KHAROL,1,B,255,13,0.325,0.7
KHAROL,1,C,0,1,0.03125,0.625
KHAROL,1,C,64,10,0.3125,0.625
KHAROL,1,C,96,1,0.03125,0.625
KHAROL,1,C,128,1,0.03125,0.625
KHAROL,1,C,160,5,0.15625,0.625
KHAROL,1,C,192,2,0.0625,0.625
KHAROL,1,C,224,5,0.15625,0.625
KHAROL,1,C,255,7,0.21875,0.625
KHAROL,2,A,0,1,0.03125,0.8125
KHAROL,2,A,64,3,0.09375,0.8125
KHAROL,2,A,96,2,0.0625,0.8125
KHAROL,2,A,128,2,0.0625,0.8125
KHAROL,2,A,160,1,0.03125,0.8125
KHAROL,2,A,192,2,0.0625,0.8125
KHAROL,2,A,224,9,0.28125,0.8125
KHAROL,2,A,255,12,0.375,0.8125
KHAROL,2,B,0,1,0.0277777777777778,0.75
KHAROL,2,B,64,5,0.138888888888889,0.75
KHAROL,2,B,96,3,0.0833333333333333,0.75
KHAROL,2,B,128,2,0.0555555555555556,0.75
KHAROL,2,B,160,1,0.0277777777777778,0.75
KHAROL,2,B,192,2,0.0555555555555556,0.75
KHAROL,2,B,224,9,0.25,0.75
KHAROL,2,B,255,13,0.361111111111111,0.75
KHAROL,2,C,0,1,0.03125,0.8125
KHAROL,2,C,64,3,0.09375,0.8125
KHAROL,2,C,96,2,0.0625,0.8125
KHAROL,2,C,128,2,0.0625,0.8125
KHAROL,2,C,160,1,0.03125,0.8125
KHAROL,2,C,192,2,0.0625,0.8125
KHAROL,2,C,224,9,0.28125,0.8125
KHAROL,2,C,255,12,0.375,0.8125
